nome,cep,endereco,bairro,horario_missa_domingo,horario_missa_segunda,horario_missa_terca,horario_missa_quarta,horario_missa_quinta,horario_missa_sexta,horario_missa_sabado,horario_confissoes
"Paróquia São Raimundo Nonato, Rodolfo Teófilo",60430-170,"Rua Delmiro de Farias, 1930",Rodolfo Teófilo,7h | 9h | 17h | 19h, , ,6h | 12h | 17h30min  ,18h,18h,19h,"Quartas-feiras das 9h às 11h e das 15h às 19h.,Todas as quartas-feiras às 6h, 10h30min, 12h, 15h, 16h30min, 17h30min e 19h."
"Paróquia São José, Vila Pery",60730-160,"Rua Arruda Câmara, 765",Vila Pery,7h | 17h | 19h, , ,19h, , ,19h,
"Paróquia São João Batista, Parque Santo Amaro",60543-318,"Rua A , s/n (vago)","Parque Santo Amaro, Bom Jardim",7h | 19h, , , ,19h30min , , ,Quintas-feiras de 15h30min às 18h30min.
"Paróquia São Pio X, Pan Americano",60440-780,"Travessa Acre, 75",Pan Americano,8h | 17h | 19h, , , ,,19h,19h ,
"Paróquia Santa Paula Frassinetti, Granja Lisboa",60540-507,"Rua Ari Maia, 950",Granja Lisboa,7h | 19h ,,,,19h,,,
"Paróquia Santo Antônio de Pádua, Planalto Pici",60512-030,"Rua 8 de junho, 120",Planalto Pici,7h | 17h | 19h, ,19h, ,19h,, ,
"Paróquia Nossa Senhora de Salette, Bela Vista",60430-005,"Rua José Façanha, 725",Bela Vista,7h |  9h | 17h30min , ,18h30min, ,18h30min,18h30min,17h30min,"Terças, quintas e sextas-feiras às 17h às 18h."
"Paróquia Santa Cecília, Bom Jardim",60543-322,"Rua Coronel João Correia, 2021",Bom Jardim,7h | 17h | 19h,19h, , ,19h , ,17h,"Quintas-feiras, de 9h às 12h e 15h às 18h, na Matriz."
"Paróquia Jesus, Maria, José, Vila União",60410-770,"Rua Alberto Montesuma,  473",Vila União,8h  | 17h, ,17h30min,17h30min,17h30min,17h30min,17h30min,
"Paróquia Nossa Senhora de Nazaré, Montese",60410-341,"Rua André Chaves, 161",Montese,6h30min | 8h | 11h | 16h30min | 18h | 19h30min,19h,19h,19h,19h,19h,16h30min | 19h,
"Paróquia São Francisco de Assis, Canindezinho",60731-450,"Rua Pitangueiras, 102",Canindezinho, 7h | 17h, ,19h, ,19h, , ,
"Paróquia-Santuário Nossa Senhora da Assunção, Vila Velha",60347-780,"Avenida Dom Aloísio Lorscheider, 960","Conjunto Nova Assunção, Vila Velha",7h | 9h | 17h, , ,17h,17h,17h,17h,Quartas e quintas-feiras de 16h às 17h.
"Paróquia São Pedro e São Paulo, Jardim Guanabara",60346-255,"Rua Padre Teodoro, 996",Jardim Guanabara,7h  |  17h  | 19h, ,19h, ,19h,19h,17h30min,
"Paróquia São Francisco de Assis, Vila Velha III",60349-180,"Rua P, 60",Vila Velha III, 8h | 17h, , 19h, , , , ,1ª terças-feiras 1ª sextas-feiras de 18h às 19h.
"Paróquia São Francisco de Assis, Quintino Cunha",60352-640,"Rua dos Pescadores, 145",Quintino Cunha,6h30min  | 8h  | 18h,19h,19h,19h,19h,19h,18h30min,
"Paróquia Santo Antônio de Pádua, Jardim Iracema",60341-140,"Rua Alberto Ferreira, 230",Jardim Iracema,8h | 16h30min | 19h,…,19h,19h,19h,19h,19h,
"Paróquia Santo Antônio de Pádua, Granja Portugal",60541-520,"Rua Taquari, 2231",Granja Portugal,7h | 17h | 19h , ,, ,19h ,, ,Terças e quintas-feiras das 9h30min às 11h.
"Paróquia Nossa Senhora Aparecida, Montese",60420-431,"Avenida Professor Gomes de Matos, 1921",Montese,7h  |  9h  |  17h  |  19h,,18h30min,18h30min,18h30min,18h30min,19h,
"Paróquia Nossa Senhora Mãe da Igreja, Padre Andrade",60356-575,"Rua Doutor Edson de Carvalho Lima, 377",Padre Andrade,7h | 9h | 17h , ,17h , , , ,17h,
"Paróquia Nossa Senhora de Fátima, Parque Genibaú",60534-090,"Rua Santa Adélia, 692",Parque Genibaú,,,,,,,,
"Paróquia Nossa Senhora do Perpétuo Socorro, Carlito Pamplona",60335-390,"Rua Cônsul Gouvêia, 44",Carlito Pamplona,7h | 9h | 19h , ,19h,19h,19h,19h,19h,Quintas-feiras e sextas-feiras de 8h30min às 11h e 14h30min às 16h.
"Paróquia Nossa Senhora de Fátima, Álvaro Weyne",60336-100,"Rua Silvio Romero, 370",Álvaro Weyne,7h | 17h, ,19h ,19h, ,19h,17h,"Sextas-feiras de 15h às 17h, na Matriz."
